sxt_mm,cn_mm,na_mm,c_mm,kf_mm,azm_mm,ct_mm,cip_mm,te_mm,ax_mm,mem_mm,imp_mm,ctx_mm,amc_mm,fep_mm,fox_mm,caz_mm,cro_mm,pip_mm,ob_mm,edta_mm,afb_mm,mk_mm,atm_mm,blee,ampc,carbapenemasas,departamento,ctxm,tem,oxa,shv,mcr1,cmy,ndm,colistina,ac_nalidixico,cloranfenicol,ciprofloxacina,sulfatrimetoprim,gentamicina,azitromicina,amoxicilina,tetraciclina,cefepime,cefoxitina,meropenem,amoxi_clav,ceftazidima,cefotaxima,cefalotina,imipenem,amikacina,ceftriaxona,piperazilina,R_polimixinas,R_fenicoles,R_quinolonas,R_sulfas,R_aminoglucosidos,R_macrolidos,R_betalactamicos,R_carbapenemicos,R_tetraciclinas,count_grupos,MDR3,MDR5,R2_colistina,R2_cloranfenicol,R2_ciprofloxacina,R2_sulfatrimetoprim,R2_gentamicina,R2_azitromicina,R2_amoxicilina,R2_tetraciclina,R2_cefepime,R2_cefoxitina,R2_meropenem,R2_amoxi_clav,R2_ceftazidima,R2_cefotaxima,R2_cefalotina,R2_ac_nalidixico,R2_imipenem,R2_ceftriaxona,R2_amikacina,R2_piperazilina,count_total_resistencias,gyrA,gyrA_parC,qnr,sp_bioquimica,aztreonam,R2_aztreonam,count_total_resistencias2,kleborate/fastani,id_seq,ST,AAC(3)-IId,AAC(3)-IIe,AAC(3)-VIa,AAC(6')-Ian,AAC(6')-Ib-cr,AAC(6')-Ib7,AAC(6')-Ib9,AAC(6')-Il,ANT(2'')-Ia,ANT(3'')-IIa,APH(3'')-Ib,APH(3')-IIa,APH(3')-Ia,APH(3')-VIa,APH(6)-Id,CMY-59,CTX-M-14,CTX-M-15,CTX-M-2,CTX-M-27,CTX-M-3,CTX-M-55,ErmB,FosA3,FosA5,FosA6,KPC-1,LAP-2,LEN-17,MCR-1,MCR-1.11,NDM-1,OKP-A-2,OKP-B-3,OXA-1,OXA-10,OXA-4,OXY-1-1,OXY-1-2,OXY-1-4,OXY-4-1,OXY-5-1,OXY-6-1,OXY-6-4,PER-1,PER-2,QnrB17,QnrB20,QnrB5,QnrB62,QnrS1,QnrVC1,SAT-1,SHV-101,SHV-106,SHV-11,SHV-110,SHV-134,SHV-182,SHV-187,SHV-26,SHV-27,TEM-1,TEM-104,TEM-141,TEM-150,TEM-176,TLA-1,VEB-9,aadA16,aadA2,aadA5,aphA15,arr-3,catB3,catI,catII,cmlA1,cmlA4,cmlA5,cmlB1,dfrA1,dfrA12,dfrA14,dfrA15,dfrA17,dfrA21,dfrA27,dfrA5,dfrA6,dfrA7,dfrA8,floR,linG,lnuG,mphA,mphB,mphE,msrE,oqxA,oqxB,sul1,sul2,sul3,tet(A),tet(B),tet(C),tet(D),tetM,blaCMY,blaCTXM,blaKPC,blaOXA,blaSHV,blaTEM,mcr,NDM,st2
26,21,22,25,21,21,13,37,21,6,30,30,30,22,32,26,30,32,25,6,16,6,25,35,0,0,0,,1,0,0,0,0,0,0,Intermedio,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,0,0,0,0,1,0,0,1,No MDR3,No MDR5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No,No,No,Klebsiella,Sensible,0,1,Klebsiella michiganensis,259,ND,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND
30,26,7,28,21,12,14,23,24,11,35,32,23,23,20,26,12,34,27,6,18,6,27,36,1,0,0,,1,0,1,0,0,0,0,Sensible,Resistente,Sensible,Intermedio,Sensible,Sensible,Resistente,Resistente,Sensible,Intermedio,Sensible,Sensible,Sensible,Resistente,Intermedio,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,1,0,0,1,1,0,0,3,MDR3,No MDR5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,No,Sí,No,Klebsiella,Sensible,0,4,Klebsiella michiganensis,262,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND
6,6,18,24,6,14,12,18,6,6,28,26,6,6,14,23,6,6,6,6,12,6,21,15,1,0,0,,1,1,1,1,0,0,0,Intermedio,Intermedio,Sensible,Resistente,Resistente,Resistente,Sensible,Resistente,Resistente,Resistente,Sensible,Sensible,Resistente,Resistente,Resistente,Resistente,Sensible,Sensible,Resistente,Resistente,0,0,1,1,1,0,1,0,1,5,MDR3,MDR5,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,12,No,No,No,Klebsiella,Resistente,1,12,Klebsiella pneumoniae,266,ST151,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,ST-ST151
6,24,6,27,6,27,12,23,11,6,29,28,32,6,32,26,28,30,26,6,12,6,21,29,0,0,0,,0,0,1,0,0,0,0,Intermedio,Resistente,Sensible,Intermedio,Resistente,Sensible,Sensible,Resistente,Resistente,Sensible,Sensible,Sensible,Resistente,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,0,0,1,1,0,0,1,0,1,4,MDR3,No MDR5,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,6,No,Sí,No,Escherichia coli,Sensible,0,6,ecoli,267,410,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ST-410
21,30,23,23,6,6,13,19,18,6,18,22,25,13,22,6,26,24,20,6,12,6,22,27,0,0,1,,0,0,1,0,0,0,0,Intermedio,Sensible,Sensible,Resistente,Sensible,Sensible,Resistente,Resistente,Sensible,Intermedio,Resistente,Resistente,Resistente,Sensible,Intermedio,Resistente,Intermedio,Sensible,Sensible,Intermedio,0,0,1,0,0,1,1,1,0,4,MDR3,No MDR5,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,7,No,No,No,Klebsiella,Sensible,0,7,Klebsiella quasipneumoniae subsp. quasipneumoniae,269,ST735-3LV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ST-ST735-3LV
6,25,14,18,6,6,14,22,13,6,28,22,18,15,23,6,10,15,20,6,11,6,18,15,0,0,0,,0,0,0,0,0,0,0,Sensible,Intermedio,Sensible,Intermedio,Resistente,Sensible,Resistente,Resistente,Intermedio,Intermedio,Resistente,Sensible,Intermedio,Resistente,Resistente,Resistente,Intermedio,Sensible,Resistente,Intermedio,0,0,0,1,0,1,1,0,0,3,MDR3,No MDR5,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,8,No,No,No,Klebsiella,Resistente,1,8,Klebsiella quasipneumoniae subsp. quasipneumoniae,548,ST735-3LV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ST-ST735-3LV
6,23,6,29,23,10,13,33,9,6,35,30,37,21,35,29,33,33,17,16,14,6,24,38,0,0,0,,0,1,0,0,0,0,0,Intermedio,Resistente,Sensible,Sensible,Resistente,Sensible,Resistente,Resistente,Resistente,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Resistente,0,0,1,1,0,1,1,0,1,5,MDR3,MDR5,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,6,Sí,No,No,Escherichia coli,Sensible,0,6,ecoli,549,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,ST-10
30,22,27,26,24,21,13,33,27,28,34,31,34,25,34,27,32,35,30,21,15,6,23,34,0,0,0,,0,0,0,0,0,0,0,Intermedio,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,0,0,0,0,0,0,0,0,No MDR3,No MDR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Escherichia coli,Sensible,0,0,ecoli,550,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ST-216
30,20,26,30,23,20,13,31,27,28,36,32,33,22,36,29,32,34,29,21,16,6,24,35,0,0,0,,0,0,0,0,0,0,0,Intermedio,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,0,0,0,0,0,0,0,0,No MDR3,No MDR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Escherichia coli,Sensible,0,0,ecoli,551,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,ST-93
6,20,12,25,11,28,12,28,6,6,34,32,34,24,34,26,32,30,12,16,14,6,20,34,0,0,0,,0,1,0,0,0,0,0,Intermedio,Resistente,Sensible,Intermedio,Resistente,Sensible,Sensible,Resistente,Resistente,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Resistente,0,0,1,1,0,0,1,0,1,4,MDR3,No MDR5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,6,No,Sí,No,Escherichia coli,Sensible,0,6,ecoli,552,5148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,ST-5148
28,22,6,24,29,14,13,22,17,8,35,31,38,32,36,22,28,32,22,10,20,6,24,36,0,0,0,,0,0,0,0,0,0,0,Intermedio,Resistente,Sensible,Intermedio,Sensible,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,1,0,0,0,1,0,0,2,No MDR3,No MDR5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,No,Sí,No,Klebsiella,Sensible,0,2,Klebsiella planticola,553,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND
